#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
17700,-362691.221242988,301.35345688618827,225.6483590112698
17800,-361966.486867988,300.7011272886292,225.6483590112698
17900,-362300.656121142,303.1312491291141,225.5376840716177
18000,-361771.6642874356,301.59693446187225,225.06422084734166
18100,-361800.0167470528,301.39387934075427,224.89302858128715
18200,-361780.58478882955,302.7705124775232,224.54551391683512
18300,-362195.0139797579,302.3356754870784,225.54333589088552
18400,-361813.06958221155,299.59699366229756,224.97445593646424
18500,-361677.0076049105,302.1315076972711,224.9624747846417
18600,-361501.73594744736,300.5500353801398,224.7999626360179
18700,-360980.74375994736,301.16575860694644,224.7999626360179
18800,-361498.59644289664,300.2819092577642,224.93825931036315
18900,-360860.23706789664,299.98528355259185,224.93825931036315
19000,-361279.0347848758,300.79142484326616,223.92212587211603
19100,-361425.6817089254,301.88855853447905,223.78405811626908
19200,-361273.67017241893,299.1494303808886,224.2181908660755
19300,-362303.01125024934,302.3449142502088,223.339113900517
19400,-361810.5460923293,298.6544342197691,224.19978391930735
19500,-362040.2023423293,298.6088032659603,224.19978391930735
19600,-361752.2101548293,300.0757467330646,224.19978391930735
19700,-361916.99768817006,299.4120669010582,224.5402818973827
19800,-362061.028830013,297.57774747753024,224.4206478034598
19900,-361811.52174743894,301.62705710581355,225.3530763772659
20000,-361567.1998828328,302.3224230225569,225.00403997579843
